pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp,habitability_score,atm_retention_prob,radiation_viability,hz_position,habitable
11 Com b,1.2668860160498612,1.44989358963918,1.4987734680677887,1.397626234377216,1.9764361753175117,2.1685469065628573,0.0,-0.7702590332847623,1.9780513857292803,-0.5549383675404356,2.1839287575698623,0.005390840362246178,,-0.9768095269519327,0.0,0.6203434180648957,0
11 UMi b,1.2735321290951467,1.44989358963918,1.4987734680677887,1.0348988040735583,1.9764361753175117,2.1685469065628573,0.0,-0.7702590332847623,1.9780513857292803,-1.3627315786413716,2.1839287575698623,0.20050802562327047,,-0.9787934791005704,0.0,0.8766293032655145,0
14 And b,1.3243919003078157,1.44989358963918,1.4987734680677887,-0.9461957959105388,1.9764361753175117,2.1685469065628573,0.0,-0.7702590332847623,0.02253835531661078,-0.5378292828877682,2.1839287575698623,0.2287750386619802,,-0.6906177661117298,0.0,0.1461593772407615,0
14 Her b,1.2930741796626297,1.44989358963918,1.4987734680677887,1.397626234377216,0.8522462772153434,-0.02302578218736904,0.0,0.3393770120412587,1.3506970057943983,0.012105580947967418,-0.22022839472378009,-1.3647228718446391,,-0.11912604094521301,0.0,2.061499483529095,0
16 Cyg B b,1.3483947696261978,1.44989358963918,1.4987734680677887,1.397626234377216,-1.0866968697307504,0.5636944651945813,0.0,-0.7702590332847623,-0.7960162082796635,0.5156015007264632,0.29129440363656905,-1.1977586698762868,,-0.9627073789736128,0.0,2.061499483529095,0
17 Sco b,1.3120461098672997,1.44989358963918,1.4987734680677887,0.8729858559846496,1.9764361753175117,1.046875845391481,0.0,-0.7702590332847623,0.3229186319762527,-1.431167917252041,2.1839287575698623,0.09807339598620825,,-0.3726627170434437,0.0,0.8486917361436626,0
18 Del b,1.2866250231228247,1.44989358963918,1.4987734680677887,0.32714991037574553,1.9764361753175117,2.1685469065628573,0.0,-0.7702590332847623,1.6215359696288587,-0.42539815517024004,2.1839287575698623,-0.7287346193446982,,-0.6698421063806119,0.0,2.061499483529095,0
1RXS J160929.1-210524 b,1.5953807475464294,1.44989358963918,1.4987734680677887,0.766945692183096,0.5172367727138368,-0.2301035165574693,0.0,-0.7702590332847623,-0.07541313285021903,-1.5497094323455218,0.7516649221608841,-1.6510184356546294,,-0.8167165606476944,0.0,2.061499483529095,0
24 Boo b,1.3715292624695716,1.3460062583836805,0.4397371129053356,0.500293686610023,1.9764361753175117,0.46015559800953115,0.0,-0.7702590332847623,-1.4162471803167502,-0.6258188611014859,2.1839287575698623,2.1784104081587374,,-0.9952419801574646,0.0,-0.6191773028450048,0
24 Sex b,1.342477731093755,1.44989358963918,1.4987734680677887,1.0989520538868058,1.6490158860065998,2.151290428698682,0.0,0.3393770120412587,-0.6722887806234247,-0.28119301309775824,2.1839287575698623,-0.6897784112754888,,-0.9481959461482501,0.0,1.3290535050430463,0
24 Sex c,1.3715292624695716,1.3359680697143375,1.4987734680677887,1.397626234377216,1.6490158860065998,2.151290428698682,0.0,0.3393770120412587,-1.4342576103238722,-0.28119301309775824,2.1839287575698623,-0.886659278454006,,-0.9955491743608624,0.0,2.061499483529095,0
2M0437 b,1.318248524777324,1.44989358963918,1.4987734680677887,0.766945692183096,-1.9833646577991684,-2.1110596037525453,0.0,-0.7702590332847623,0.19641631671762316,-2.245988073835323,-0.4504136539859376,-1.6504376661705986,,-2.1908389631138627,0.0,2.061499483529095,0
2MASS J01033563-5515561 AB b,1.2735321290951467,1.44989358963918,1.4987734680677887,0.766945692183096,-1.9643021951721744,-2.1110596037525453,0.0,-0.7702590332847623,1.9780513857292803,0.3359561118734562,0.11226142421044714,-1.6132888109373547,,-0.9786169513088115,0.0,2.061499483529095,0
2MASS J01225093-2439505 b,1.197127446777181,1.44989358963918,1.4987734680677887,0.766945692183096,-1.4961039580203013,-1.7831865243332197,0.0,-0.7702590332847623,1.9780513857292803,-2.1974104941964994,-1.652492230132759,-1.6467807382450594,,-2.404300845463421,0.0,2.061499483529095,0
2MASS J02192210-3925225 b,1.4874166733804857,1.44989358963918,1.4987734680677887,0.766945692183096,-2.0166354484326336,-2.1110596037525453,0.0,-0.7702590332847623,1.0320763242228643,-2.245988073835323,-1.882677489394916,-1.663742143464089,,-1.7654285040643147,0.0,2.061499483529095,0
2MASS J0249-0557 c,1.2801113970152131,1.44989358963918,1.4987734680677887,0.766945692183096,-2.025774973941429,-2.1110596037525453,0.0,-0.7702590332847623,1.9780513857292803,-2.245988073835323,-1.780372929722846,-1.6731526056307195,,-2.413440886551438,0.0,2.061499483529095,0
2MASS J03590986+2009361 b,1.2668860160498612,1.44989358963918,1.4987734680677887,0.766945692183096,-1.8607417507211104,-2.1110596037525453,0.0,-0.7702590332847623,1.9780513857292803,-2.245988073835323,-1.8571013494768986,-1.6701591867300931,,-2.4153347506974994,0.0,2.061499483529095,0
2MASS J04414489+2301513 b,1.2930741796626297,1.44989358963918,1.4987734680677887,0.766945692183096,-2.026374952579885,-2.1110596037525453,0.0,-0.7702590332847623,1.2340233270095016,-2.245988073835323,-2.0105581889850037,-1.6401364500189366,,-1.8659473533514375,0.0,2.061499483529095,0
2MASS J11011926-7732383 b,1.2465340838703902,1.44989358963918,1.4987734680677887,0.766945692183096,0.14331324331042863,0.1495389964543808,0.0,-0.7702590332847623,1.9780513857292803,0.32862364702231306,-0.11792383505171036,-1.6427188194140896,,-0.970603710911951,0.0,2.061499483529095,0
2MASS J11550485-7919108 b,1.2601718224123208,1.44989358963918,1.4987734680677887,0.766945692183096,-0.7678067960878218,-1.1274403654945697,0.0,-0.7702590332847623,1.9780513857292803,-2.245988073835323,-1.064241012018357,-1.667097416512442,,-2.4143216046254294,0.0,2.061499483529095,0
2MASS J12073346-3932539 b,1.3120461098672997,1.44989358963918,1.4987734680677887,0.766945692183096,-2.026374952579885,-2.1110596037525453,0.0,-0.7702590332847623,0.5211244439500003,-2.245988073835323,-2.0361343289030214,-1.658807960062175,,-1.9682016278278114,0.0,2.061499483529095,0
2MASS J19383260+4603591 b,1.342477731093755,1.44989358963918,1.4987734680677887,1.397626234377216,1.9764361753175117,-1.5070828785064196,0.0,1.4490130573672797,-0.7123654868155941,2.4101271066405725,-2.0872866087390562,-0.2848145727319543,,-0.952882835238794,0.0,0.4893139591141377,0
2MASS J21252752-8138278 b,1.2801113970152131,1.44989358963918,1.4987734680677887,0.766945692183096,-0.543580901920869,-0.9548755868528195,0.0,-0.7702590332847623,1.9780513857292803,-2.1216416907346867,-0.8852080325922345,-1.673421069768916,,-2.4156447308188036,0.0,2.061499483529095,0
2MASS J22362452+4751425 b,1.2735321290951467,1.44989358963918,1.4987734680677887,0.766945692183096,-0.7239225680708815,-1.0929274097662196,0.0,-0.7702590332847623,1.9780513857292803,-1.5680405944733797,-0.961936452346287,-1.6553030136700815,,-0.9781496017426767,0.0,2.061499483529095,0
30 Ari B b,1.2735321290951467,1.44989358963918,1.4987734680677887,1.397626234377216,0.035504177493244804,2.1685469065628573,0.0,-0.7702590332847623,1.9780513857292803,1.2256285138121574,1.0074263213410586,-0.9138404547625553,,-0.9787765415514199,0.0,1.9850694132807924,0
4 UMa b,1.2930741796626297,1.44989358963918,1.4987734680677887,1.397626234377216,1.9764361753175117,1.0813888011198312,0.0,-0.7702590332847623,1.3196172213789916,-1.115871928652886,2.1839287575698623,0.34922848715053817,,-0.05111004106060928,0.0,0.21633028569084065,0
42 Dra b,1.318248524777324,1.44989358963918,1.4987734680677887,1.397626234377216,1.9764361753175117,0.21856490791108088,0.0,-0.7702590332847623,0.15642416658700709,-1.3786185858188484,2.1839287575698623,0.14809238719249093,,-0.5699362843945113,0.0,0.572328944526641,0
47 UMa b,1.3304772427325116,1.44989358963918,1.4987734680677887,0.500293686610023,-0.5913113934210519,0.4946685537378812,0.0,1.4490130573672797,-0.3848262382768775,0.664694952699707,0.49590352298070906,-1.2267237885189908,,-0.8906448782423801,0.0,2.061499483529095,0
47 UMa c,1.3883435865260736,1.1546500331002703,1.4987734680677887,1.1443768532764884,-0.5913113934210519,0.4946685537378812,0.0,1.4490130573672797,-1.7612065363731926,0.664694952699707,0.49590352298070906,-1.3330607138174657,,-1.0035481323731317,0.0,2.061499483529095,0
47 UMa d,1.3483947696261978,1.44989358963918,1.4987734680677887,1.390297506800562,-0.5913113934210519,0.4946685537378812,0.0,1.4490130573672797,-0.8697329238771513,0.664694952699707,0.49590352298070906,-1.4853303339656443,,-0.9685649304745702,0.0,2.061499483529095,0
51 Eri b,1.342477731093755,1.44989358963918,1.4987734680677887,1.397626234377216,1.1099190732672632,2.1685469065628573,0.0,-0.7702590332847623,-0.665714352947547,2.403711199895822,1.2120354406851985,-1.429338304390945,,-0.9473760897152936,0.0,2.061499483529095,0
51 Peg b,1.3938504624474368,1.0901154566956535,-0.799312920790323,-0.02611629206844665,-0.8731774018873084,0.3911296865528311,0.0,-0.7702590332847623,-1.8585126125250995,0.5253781205279874,0.4191751032266566,1.074675575849862,,-1.0055775204993347,0.0,-0.6168605174819045,0
55 Cnc b,1.3715292624695716,1.3227219059491322,-0.05500060378998918,-0.9461957959105388,0.8522462772153434,-0.02302578218736904,0.0,2.0038310800302903,-1.4575228019891076,-0.19075927993365951,-0.19465225480576287,-0.17307813776558356,,-0.9959267020944433,0.0,-0.6331631678594997,0
55 Cnc c,0.9600956801888764,0.6678398254831044,0.6199023515814758,0.46136202516760744,0.8522462772153434,-0.02302578218736904,0.0,2.0038310800302903,-1.5266637494170947,-0.19075927993365951,-0.19465225480576287,-0.63731418645944,,-0.8547949987410122,0.0,-0.3729075258845599,0
