pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,st_lum,st_mass,sy_snum,sy_pnum,pl_dens,st_teff,st_rad,pl_temp
11 Com b,12.2,4914.89849,1.178,0.238,1.978,2.09,2,1,14.9,4874.0,13.76,10774.115048811513
11 UMi b,12.3,4684.8142,1.53,0.08,2.43,2.78,1,1,13.8,4213.0,29.79,12023.765774063666
14 And b,13.1,1131.1513,0.775,0.0,1.84,1.78,1,1,2.76,4888.0,11.55,12204.805149438422
14 Her b,12.6,2559.47216,2.774,0.373,0.7188609179509692,0.91,1,2,7.03,5338.0,0.93,1999.062293480101
16 Cyg B b,13.5,565.7374,1.66,0.68,0.097,1.08,3,1,1.26,5750.0,1.13,3068.4039601394225
17 Sco b,12.9,1373.01872,1.45,0.06,2.254,1.22,1,1,3.51,4157.0,25.92,11367.711264843249
18 Del b,12.5,2926.24614,2.476,0.024,1.634,2.1,2,1,8.23,4980.0,8.8,6072.323087628927
1RXS J160929.1-210524 b,18.647,3000.0,330.0,0.05,0.5661952739834993,0.85,1,1,2.54,4060.0,1.31,165.44902936391193
24 Boo b,13.9,280.64248,0.194,0.032,1.877,1.05,1,1,0.574,4816.0,12.19,24691.471817008263
24 Sex b,13.4,632.46,1.333,0.09,1.164,1.54,1,2,1.44,5098.0,4.9,6321.822656832102
24 Sex c,13.9,273.32,2.08,0.29,1.164,1.54,1,2,0.559,5098.0,4.9,5060.876225441294
2M0437 b,13.0,1271.31363,118.0,0.05,0.002025681793865957,0.17,1,1,3.18,3100.0,0.84,169.16863512776277
2MASS J01033563-5515561 AB b,12.3,4131.79,84.0,0.05,0.0029897687853745482,0.19,2,1,12.2,5603.0,1.06,
2MASS J01225093-2439505 b,11.209,7786.5,52.0,0.05,0.04047715405015526,0.4,1,1,30.4,3530.0,0.37,192.58985570467718
2MASS J02192210-3925225 b,16.141,4417.837,156.0,0.05,0.0004414427595963037,0.11,1,1,5.77,3064.0,0.28,83.9585616190199
2MASS J0249-0557 c,12.4,3686.80952,1950.0,0.05,2.7950849718747376e-05,0.05,2,1,10.6,2859.0,0.32,23.68816126573562
2MASS J03590986+2009361 b,12.2,5720.91133,572.0,0.05,0.00896203669709068,0.26,1,1,17.3,2943.0,0.29,42.859861058077804
2MASS J04414489+2301513 b,12.6,2383.6,15.0,0.05,1.1313708498984761e-06,0.02,1,1,6.55,2936.0,0.23,235.1439730647194
2MASS J11011926-7732383 b,11.9,8899.1954,266.0,0.05,0.419,0.96,1,1,29.0,5597.0,0.97,
2MASS J11550485-7919108 b,12.1,6356.56814,587.0,0.05,0.15775460325515067,0.59,1,1,19.7,3021.0,0.6,62.469324816612556
2MASS J12073346-3932539 b,12.9,1589.15,55.0,0.05,1.1313708498984761e-06,0.02,1,1,4.07,2825.0,0.22,115.56011357089008
2MASS J19383260+4603591 b,13.4,603.877,0.92,0.33,1.45,0.48,2,3,1.38,29564.0,0.2,8915.460699835967
2MASS J21252752-8138278 b,12.4,3813.94088,7493.0,0.05,0.20971520000000002,0.64,1,1,11.0,3592.0,0.67,21.96875144259511
2MASS J22362452+4751425 b,12.3,3972.875,230.0,0.05,0.1673128805561604,0.6,1,1,11.7,4045.0,0.64,138.0079507257271
30 Ari B b,12.3,4392.4106,0.99,0.29,0.381,1.93,4,1,13.0,6331.0,1.41,4886.7912177996295
4 UMa b,12.6,2511.48007,0.877,0.453,2.062,1.23,1,1,6.9,4415.0,18.11,12976.263281439868
42 Dra b,13.0,1233.13,1.19,0.38,2.155,0.98,2,1,3.08,4200.0,22.03,11688.063716390216
47 UMa b,13.2,804.08,2.1,0.032,0.198,1.06,1,3,1.92,5872.0,1.21,2882.8934861622215
47 UMa c,14.2,171.621,3.6,0.098,0.198,1.06,1,3,0.329,5872.0,1.21,2201.846270138918
47 UMa d,13.5,521.22,11.6,0.16,0.198,1.06,1,3,1.16,5872.0,1.21,1226.6177632419801
51 Eri b,13.4,635.66,13.2,0.45,0.85,1.75,3,1,1.45,7295.0,1.49,1585.2252342997356
51 Peg b,14.3,146.2018,0.0527,0.013,0.136,1.03,1,1,0.275,5758.0,1.18,17622.47360531474
55 Cnc b,13.9,263.9785,0.1134,0.0,0.7188609179509692,0.91,2,5,0.54,5172.0,0.94,9631.089704047048
55 Cnc c,8.51,54.4738,0.2373,0.03,0.7188609179509692,0.91,2,5,0.486,5172.0,0.94,6657.835891665619
55 Cnc d,13.0,1232.493,5.957,0.13,0.7188609179509692,0.91,2,5,3.08,5172.0,0.94,1328.8261166854402
55 Cnc e,1.875,7.99,0.01544,0.05,0.7188609179509692,0.91,2,5,6.66,5172.0,0.94,26101.069747387446
55 Cnc f,7.59,44.812,0.7708,0.08,0.7188609179509692,0.91,2,5,0.563,5172.0,0.94,3694.120877894664
6 Lyn b,13.4,597.83523,2.028,0.042,1.119,1.32,1,1,1.37,4941.0,4.94,4987.740673222323
